query_id,split,script,category,r2c0_cand_cat,source_doc_id,baseline_rank,treatment_rank,baseline_hit1,treatment_hit1,baseline_hit5,treatment_hit5,baseline_hit10,treatment_hit10,baseline_hit50,treatment_hit50,baseline_mrr,treatment_mrr,gold_candidate_baseline,gold_candidate_treatment,recovered,regressed,cand_change,baseline_overlap,treatment_overlap,overlap_delta,new_matching_terms,lost_matching_terms
KN001,train,ROMAN,ROOM,1,92506,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,0,0,0,,
KN002,train,ROMAN,ENT,1,90691,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN004,train,ROMAN,SUCCESS,0,14991,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,0,0,unchanged_rank,4,5,1,ya,
KN005,train,ROMAN,NEIGH,1,64084,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,1,1,0,,
KN006,train,ROMAN,ROOM,1,29860,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN008,train,ROMAN,ROOM,1,47197,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,1,1,0,,
KN010,train,ROMAN,ROOM,1,1674,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN011,train,ROMAN,ROOM,1,60226,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN012,train,ROMAN,SUCCESS,0,13580,5,9,0,0,1,0,1,1,1,1,0.2,0.111111,1,1,0,0,rank_regression,2,2,0,,
KN013,train,ROMAN,ROOM,3,82652,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN014,train,ROMAN,RANK,2,79754,44,44,0,0,0,0,0,0,1,1,0.022727,0.022727,1,1,0,0,unchanged_rank,5,5,0,,
KN015,train,ROMAN,VOCAB,3,22450,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN016,train,ROMAN,ENT,1,100673,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN017,train,ROMAN,VOCAB,1,19341,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,0,0,0,,
KN018,train,ROMAN,ROOM,1,17943,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,3,1,ya,
KN019,train,ROMAN,ENT,1,5092,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN020,train,ROMAN,VOCAB,1,60895,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN021,train,ROMAN,ROOM,3,13065,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN022,train,ROMAN,ENT,3,14664,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN023,train,ROMAN,SUCCESS,0,12128,3,3,0,0,1,1,1,1,1,1,0.333333,0.333333,1,1,0,0,unchanged_rank,5,5,0,,
KN024,train,ROMAN,ROOM,3,31154,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN025,train,ROMAN,ROOM,3,60831,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,6,6,0,,
KN026,train,ROMAN,ENT,3,102664,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN027,train,ROMAN,ROOM,3,59279,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN028,train,ROMAN,VOCAB,3,76785,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN029,train,ROMAN,ENT,1,101347,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN030,train,ROMAN,ENT,3,47083,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN031,train,ROMAN,ROOM,3,29423,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,6,6,0,,
KN032,train,ROMAN,ENT,1,41695,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN033,train,ROMAN,ENT,1,81673,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN034,train,ROMAN,ENT,1,13398,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,1,1,0,,
KN035,train,ROMAN,ENT,3,10546,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,5,5,0,,
KN036,train,ROMAN,VOCAB,1,76509,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN037,dev,ROMAN,ROOM,1,22739,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN038,dev,ROMAN,SUCCESS,0,40057,3,3,0,0,1,1,1,1,1,1,0.333333,0.333333,1,1,0,0,unchanged_rank,6,6,0,,
KN039,dev,ROMAN,VOCAB,3,23062,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN040,dev,ROMAN,ENT,1,24596,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN041,dev,ROMAN,VOCAB,1,65903,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN042,dev,ROMAN,VOCAB,1,111652,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN043,dev,ROMAN,ENT,3,21399,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN044,dev,ROMAN,ROOM,3,23544,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN045,dev,ROMAN,ROOM,1,19783,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN046,dev,ROMAN,VOCAB,1,109714,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,5,5,0,,
KN047,dev,ROMAN,ROOM,1,61862,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
KN048,dev,ROMAN,RANK,2,20073,42,42,0,0,0,0,0,0,1,1,0.02381,0.02381,1,1,0,0,unchanged_rank,3,3,0,,
KN049,dev,ROMAN,ROOM,3,86593,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN050,dev,ROMAN,ROOM,1,34762,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN051,dev,ROMAN,ROOM,1,21160,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,3,3,0,,
KN052,dev,ROMAN,ENT,1,59426,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,2,2,0,,
KN053,dev,ROMAN,ENT,3,22115,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,5,5,0,,
KN054,dev,ROMAN,ENT,3,4400,,,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,unchanged_miss,4,4,0,,
